-56.25 39.25  1
-43.75 47.25  1
-43.75 47.75  1
-41.25 39.25  1
-41.25 40.25  1
-41.25 42.25  4
-41.25 47.75  1
-41.25 49.75  7
-41.25 50.25  4
-38.75 37.75  46
-38.75 38.25  114
-38.75 38.75  8
-38.75 39.25  104
-38.75 39.75  206
-38.75 40.25  278
-38.75 40.75  338
-38.75 41.25  161
-38.75 41.75  116
-38.75 42.25  393
-38.75 42.75  86
-38.75 43.25  47
-38.75 43.75  105
-38.75 44.25  107
-38.75 44.75  71
-38.75 45.25  80
-38.75 45.75  96
-38.75 46.25  113
-38.75 46.75  178
-38.75 47.25  255
-38.75 47.75  127
-38.75 48.25  33
-38.75 48.75  95
-38.75 49.25  142
-38.75 49.75  151
-38.75 50.25  227
-38.75 50.75  179
-38.75 51.25  4
-36.25 37.75  12049
-36.25 38.25  33680
-36.25 38.75  3040
-36.25 39.25  24432
-36.25 39.75  38170
-36.25 40.25  44368
-36.25 40.75  45568
-36.25 41.25  31373
-36.25 41.75  29278
-36.25 42.25  35571
-36.25 42.75  48475
-36.25 43.25  39461
-36.25 43.75  38719
-36.25 44.25  34742
-36.25 44.75  29771
-36.25 45.25  32352
-36.25 45.75  48597
-36.25 46.25  39963
-36.25 46.75  33038
-36.25 47.25  41105
-36.25 47.75  36873
-36.25 48.25  28342
-36.25 48.75  34946
-36.25 49.25  34902
-36.25 49.75  41966
-36.25 50.25  42517
-36.25 50.75  25170
-36.25 51.25  570
-33.75 37.75  13030
-33.75 38.25  39656
-33.75 38.75  4524
-33.75 39.25  22970
-33.75 39.75  36763
-33.75 40.25  37342
-33.75 40.75  27000
-33.75 41.25  28934
-33.75 41.75  45374
-33.75 42.25  37923
-33.75 42.75  40545
-33.75 43.25  33565
-33.75 43.75  39562
-33.75 44.25  39740
-33.75 44.75  28307
-33.75 45.25  27033
-33.75 45.75  31609
-33.75 46.25  39211
-33.75 46.75  32625
-33.75 47.25  40597
-33.75 47.75  37677
-33.75 48.25  33739
-33.75 48.75  36013
-33.75 49.25  30733
-33.75 49.75  35455
-33.75 50.25  33519
-33.75 50.75  18987
-33.75 51.25  443
-31.25 37.75  10945
-31.25 38.25  44651
-31.25 38.75  23601
-31.25 39.25  22786
-31.25 39.75  43639
-31.25 40.25  43609
-31.25 40.75  33796
-31.25 41.25  29729
-31.25 41.75  42015
-31.25 42.25  40352
-31.25 42.75  29003
-31.25 43.25  34450
-31.25 43.75  35538
-31.25 44.25  40036
-31.25 44.75  32308
-31.25 45.25  23310
-31.25 45.75  33945
-31.25 46.25  48202
-31.25 46.75  36912
-31.25 47.25  36501
-31.25 47.75  35217
-31.25 48.25  28480
-31.25 48.75  22991
-31.25 49.25  27237
-31.25 49.75  40043
-31.25 50.25  36742
-31.25 50.75  16724
-31.25 51.25  286
-28.75 37.75  6864
-28.75 38.25  32270
-28.75 38.75  45039
-28.75 39.25  31351
