-79.95 40.05  1
-39.95 38.05  4
-39.95 38.55  1
-39.95 39.05  2
-39.95 39.55  5
-39.95 40.05  17
-39.95 40.55  11
-39.95 41.05  4
-39.95 41.55  7
-39.95 42.05  91
-39.95 42.55  35
-39.95 43.55  1
-39.95 44.05  2
-39.95 44.55  3
-39.95 45.05  5
-39.95 45.55  46
-39.95 46.05  33
-39.95 46.55  6
-39.95 47.05  3
-39.95 47.55  7
-39.95 48.05  3
-39.95 48.55  2
-39.95 49.55  7
-39.95 50.05  14
-39.95 50.55  47
-39.95 51.05  10
-37.45 37.55  39
-37.45 38.05  666
-37.45 38.55  770
-37.45 39.05  513
-37.45 39.55  759
-37.45 40.05  1202
-37.45 40.55  718
-37.45 41.05  392
-37.45 41.55  219
-37.45 42.05  2900
-37.45 42.55  1585
-37.45 43.05  252
-37.45 43.55  144
-37.45 44.05  354
-37.45 44.55  394
-37.45 45.05  451
-37.45 45.55  1058
-37.45 46.05  830
-37.45 46.55  542
-37.45 47.05  234
-37.45 47.55  589
-37.45 48.05  331
-37.45 48.55  345
-37.45 49.05  370
-37.45 49.55  452
-37.45 50.05  760
-37.45 50.55  1598
-37.45 51.05  560
-37.45 51.55  174
-37.45 52.05  2
-34.95 37.55  1764
-34.95 38.05  27684
-34.95 38.55  30522
-34.95 39.05  24929
-34.95 39.55  30226
-34.95 40.05  31258
-34.95 40.55  27018
-34.95 41.05  24725
-34.95 41.55  22488
-34.95 42.05  31151
-34.95 42.55  33391
-34.95 43.05  32841
-34.95 43.55  23698
-34.95 44.05  21343
-34.95 44.55  26269
-34.95 45.05  31450
-34.95 45.55  25872
-34.95 46.05  32386
-34.95 46.55  30624
-34.95 47.05  30174
-34.95 47.55  30362
-34.95 48.05  21779
-34.95 48.55  26916
-34.95 49.05  29380
-34.95 49.55  22438
-34.95 50.05  30004
-34.95 50.55  29995
-34.95 51.05  27591
-34.95 51.55  11877
-34.95 52.05  128
-32.45 37.55  872
-32.45 38.05  15453
-32.45 38.55  17048
-32.45 39.05  12975
-32.45 39.55  17804
-32.45 40.05  19372
-32.45 40.55  17250
-32.45 41.05  15584
-32.45 41.55  24603
-32.45 42.05  13207
-32.45 42.55  12055
-32.45 43.05  17216
-32.45 43.55  18556
-32.45 44.05  11139
-32.45 44.55  10932
-32.45 45.05  16201
-32.45 45.55  21351
-32.45 46.05  13843
-32.45 46.55  19942
-32.45 47.05  26436
-32.45 47.55  18406
-32.45 48.05  13482
-32.45 48.55  16319
-32.45 49.05  13168
