-54.95  39.05  0
-44.95  47.05  0.0121368
-39.95  38.05  1.29012e-08
-39.95  38.55  1.52843e-08
-39.95  39.05  7.20989e-08
-39.95  39.55  8.75974e-08
-39.95  40.05  6.40974e-07
-39.95  40.55  8.68796e-07
-39.95  41.05  8.3569e-07
-39.95  41.55  3.3683e-07
-39.95  42.05  6.11607e-06
-39.95  42.55  2.26217e-06
-39.95  43.55  6.35804e-07
-39.95  44.05  3.60456e-07
-39.95  44.55  6.93523e-07
-39.95  45.05  4.21256e-07
-39.95  45.55  9.93456e-07
-39.95  46.05  7.36218e-07
-39.95  46.55  1.19428e-06
-39.95  47.55  3.37083e-07
-39.95  48.05  8.40894e-08
-39.95  49.05  1.33769e-07
-39.95  49.55  2.67702e-07
-39.95  50.05  7.64403e-07
-39.95  50.55  9.67157e-08
-39.95  51.55  8.15122e-09
-37.45  37.55  3.91861e-07
-37.45  38.05  1.40032e-07
-37.45  38.55  5.18241e-07
-37.45  39.05  4.60367e-07
-37.45  39.55  3.56e-07
-37.45  40.05  2.12814e-06
-37.45  40.55  3.68214e-06
-37.45  41.05  3.36016e-06
-37.45  41.55  8.12889e-07
-37.45  42.05  8.40343e-06
-37.45  42.55  5.15723e-06
-37.45  43.05  2.87905e-06
-37.45  43.55  3.23671e-06
-37.45  44.05  4.25425e-06
-37.45  44.55  4.13074e-06
-37.45  45.05  2.7315e-06
-37.45  45.55  9.24141e-06
-37.45  46.05  1.35032e-05
-37.45  46.55  4.85636e-06
-37.45  47.05  4.69798e-07
-37.45  47.55  7.60113e-07
-37.45  48.05  5.24052e-07
-37.45  48.55  2.71503e-07
-37.45  49.05  3.96859e-07
-37.45  49.55  7.50594e-07
-37.45  50.05  8.11347e-07
-37.45  50.55  3.9443e-07
-37.45  51.05  7.40147e-08
-37.45  51.55  7.93263e-08
-37.45  52.05  1.56263e-07
-34.95  37.55  5.86714e-06
-34.95  38.05  2.92384e-06
-34.95  38.55  7.303e-06
-34.95  39.05  8.02188e-06
-34.95  39.55  5.75906e-06
-34.95  40.05  2.25373e-05
-34.95  40.55  2.61901e-05
-34.95  41.05  2.54464e-05
-34.95  41.55  2.9311e-05
-34.95  42.05  6.66296e-05
-34.95  42.55  9.1619e-05
-34.95  43.05  8.9003e-05
-34.95  43.55  6.76048e-05
-34.95  44.05  7.03012e-05
-34.95  44.55  6.70164e-05
-34.95  45.05  5.34509e-05
-34.95  45.55  0.00011698
-34.95  46.05  0.000183893
-34.95  46.55  8.75815e-05
-34.95  47.05  1.74534e-05
-34.95  47.55  1.63285e-05
-34.95  48.05  1.36388e-05
-34.95  48.55  1.01559e-05
-34.95  49.05  5.98816e-06
