-52.45 47.55  1
-49.95 50.55  1
-42.45 41.55  1
-42.45 47.55  1
-39.95 37.55  3
-39.95 38.05  2
-39.95 38.55  2
-39.95 39.05  7
-39.95 39.55  1
-39.95 40.05  13
-39.95 40.55  7
-39.95 41.05  2
-39.95 41.55  9
-39.95 42.05  8
-39.95 42.55  3
-39.95 43.05  1
-39.95 43.55  40
-39.95 44.05  20
-39.95 44.55  29
-39.95 45.05  4
-39.95 45.55  10
-39.95 46.05  16
-39.95 46.55  5
-39.95 47.05  2
-39.95 47.55  6
-39.95 48.05  2
-39.95 49.05  2
-39.95 50.05  1
-39.95 50.55  3
-39.95 51.05  12
-39.95 51.55  4
-37.45 37.55  47
-37.45 38.05  622
-37.45 38.55  794
-37.45 39.05  330
-37.45 39.55  378
-37.45 40.05  752
-37.45 40.55  557
-37.45 41.05  430
-37.45 41.55  518
-37.45 42.05  305
-37.45 42.55  428
-37.45 43.05  440
-37.45 43.55  1763
-37.45 44.05  841
-37.45 44.55  921
-37.45 45.05  489
-37.45 45.55  472
-37.45 46.05  478
-37.45 46.55  729
-37.45 47.05  366
-37.45 47.55  487
-37.45 48.05  446
-37.45 48.55  296
-37.45 49.05  510
-37.45 49.55  283
-37.45 50.05  369
-37.45 50.55  493
-37.45 51.05  1023
-37.45 51.55  484
-37.45 52.05  1
-34.95 37.55  1624
-34.95 38.05  28011
-34.95 38.55  31943
-34.95 39.05  19098
-34.95 39.55  27842
-34.95 40.05  30915
-34.95 40.55  24847
-34.95 41.05  24802
-34.95 41.55  24862
-34.95 42.05  25031
-34.95 42.55  37591
-34.95 43.05  25546
-34.95 43.55  32634
-34.95 44.05  23479
-34.95 44.55  28961
-34.95 45.05  30516
-34.95 45.55  29384
-34.95 46.05  22494
-34.95 46.55  31102
-34.95 47.05  24620
-34.95 47.55  26924
-34.95 48.05  29575
-34.95 48.55  20848
-34.95 49.05  28162
-34.95 49.55  25195
-34.95 50.05  26253
-34.95 50.55  25175
-34.95 51.05  27120
-34.95 51.55  9041
-34.95 52.05  58
-32.45 37.55  1514
-32.45 38.05  15330
-32.45 38.55  13798
-32.45 39.05  11687
-32.45 39.55  19309
-32.45 40.05  18016
-32.45 40.55  15735
-32.45 41.05  15418
-32.45 41.55  20032
-32.45 42.05  11483
-32.45 42.55  15913
-32.45 43.05  18726
-32.45 43.55  13269
-32.45 44.05  9604
-32.45 44.55  15559
-32.45 45.05  16029
-32.45 45.55  23209
